"","budget","color","num_critic_for_reviews","duration","director_facebook_likes","actor_1_facebook_likes","num_voted_users","cast_total_facebook_likes","num_user_for_reviews","imdb_score","movie_facebook_likes"
"budget",38476971231385160,990516.763562399,3054357850.8571,378776057.571424,13443075237.3688,80351154200.8398,2376336439013.03,149066210677.349,6891184509.3226,5686847.6198813,250745599625.919
"color",990516.763562399,0.054125791497367,1.24884132124184,-0.0648737399420124,-18.8970965130265,43.3402424197518,-7.77613609825788,105.870640850447,-1.69162434322266,-0.0297286808260542,148.675373422836
"num_critic_for_reviews",3054357850.8571,1.24884132124184,14833.3042101316,847.812721975383,62740.2223335876,353337.580140384,10568760.2694816,588689.656092983,28144.0503144201,41.0647738650305,1606225.2124091
"duration",378776057.571424,-0.0648737399420124,847.812721975383,667.109487208106,11594.3020302275,34577.5456436015,1122482.27916011,57767.8397317382,3215.95639707952,7.44958939789764,97654.0436168428
"director_facebook_likes",13443075237.3688,-18.8970965130265,62740.2223335876,11594.3020302275,7761081.79326755,3862978.77272246,114990451.073358,6128374.22625791,235520.357051216,509.243076161434,8725023.24314403
"actor_1_facebook_likes",80351154200.8398,43.3402424197518,353337.580140384,34577.5456436015,3862978.77272246,225369626.387272,401442223.825189,259502126.066224,832048.670159083,1280.87026432655,39309552.5078329
"num_voted_users",2376336439013.03,-7.77613609825788,10568760.2694816,1122482.27916011,114990451.073358,401442223.825189,19178166352.6134,668877369.899884,41768680.8492789,64033.2931825452,1439267018.45018
"cast_total_facebook_likes",149066210677.349,105.870640850447,588689.656092983,57767.8397317382,6128374.22625791,259502126.066224,668877369.899884,329923598.618691,1426665.14132278,1753.18271156039,73620659.548082
"num_user_for_reviews",6891184509.3226,-1.69162434322266,28144.0503144201,3215.95639707952,235520.357051216,832048.670159083,41768680.8492789,1426665.14132278,142584.604705208,123.112271985715,2926936.41544113
"imdb_score",5686847.6198813,-0.0297286808260542,41.0647738650305,7.44958939789764,509.243076161434,1280.87026432655,64033.2931825452,1753.18271156039,123.112271985715,1.26588571132371,5370.27630754331
"movie_facebook_likes",250745599625.919,148.675373422836,1606225.2124091,97654.0436168428,8725023.24314403,39309552.5078329,1439267018.45018,73620659.548082,2926936.41544113,5370.27630754331,373279599.246459
