I.D,,Department,Group,Teacher,Gender,Q1.1,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,M1,Q1.2,Q2.2,Q3.2,Q4.2,M2,Q1.3,Q2.3,Q3.3,Q4.3,Q5.3,Q6.3,M3,Q1.4,Q2.4,Q3.4,Q4.4,Q5.4,Q6.4,Final
1,6178,22,2,B,M,7,2,0,8,8,6,31,?,?,?,?,0,0,8,0,0,0,0,8,?,?,?,?,?,?,0
2,146,28,5,B,M,7,3,0,4,5,1,20,0,9,13,0,22,0,3,3,0,8,0,14,2,0,5,1,2,0,10
3,1197,26,4,B,M,6,4,0,6,0,4,20,0,3,8,0,11,0,0,0,0,9,0,9,10,0,3,4,1,3,21
4,1623,28,5,B,M,6,4,4,6,1,6,27,6,20,32,9,67,0,8,1,5,10,0,24,1,14,10,0,12,10,47
5,2974,27,4,B,M,5,0,0,5,0,0,10,0,19,0,0,19,0,4,1,0,0,0,5,5,0,10,0,0,0,15
6,3551,20,2,B,M,?,?,?,?,?,?,0,0,9,12,1,22,0,1,0,0,10,4,15,3,0,10,2,3,7,25
7,4631,20,4,B,M,5,4,4,6,8,6,33,1,14,24,7,46,0,0,0,1,9,9,19,12,0,6,3,6,7,34
8,5347,45,3,B,M,6,4,4,3,6,8,31,7,20,27,9,63,7,8,5,0,9,8,37,12,13,9,4,4,7,49
9,6008,21,4,B,F,5,4,4,4,1,4,22,0,20,12,9,41,9,2,1,0,0,8,20,4,2,10,1,7,3,27
10,6751,28,3,B,M,8,1,4,8,7,6,34,1,20,32,9,62,10,9,6,0,10,9,44,12,8,10,6,12,10,58
11,7112,25,3,B,M,7,4,0,8,8,4,31,6,18,22,1,47,6,7,0,2,10,10,35,12,12,10,8,12,10,64
12,7897,22,5,B,F,1,4,0,8,5,5,23,0,19,25,6,50,0,3,0,0,9,9,21,0,0,0,0,0,0,0
13,8763,21,4,B,F,8,4,0,8,6,4,30,0,17,21,1,39,0,4,4,1,10,8,27,8,0,10,6,14,7,45
